
#DIFFERENT FOR ALL LISTING TYPES
"Publish Product";"Publish Listing"
"Close Product";"Close Listing"
"Open Product";"Open Listing"
"Delete Product";"Delete Listing"

#Sitereview/index/tagscloud.tpl
#LISTING TYPE DEPENDENTS
"Popular Product Tags";"Popular Listing Tags"
"Browse the tags created for product by the various members.";"Browse the tags created for listing by the various members."

#LISTING TYPE DEPENDENT
"Edit Product Photos";"Edit Product Photos"
"Edit and manage the photos of your product below.";"Edit and manage the photos of your listing below."
"An attractive photo and video Slideshow will be displayed on your Product Profile page. Below, you can choose the photos to be displayed in this slideshow by using the 'Show in Slideshow' option.";"An attractive photo and video Slideshow will be displayed on your Product Profile page. Below, you can choose the photos to be displayed in this slideshow by using the 'Show in Slideshow' option."
"You can also choose the photo snapshot for the video displayed in the slideshow by using 'Video Snapshot' option.";"You can also choose the photo snapshot for the video displayed in the slideshow by using 'Video Snapshot' option."
"There are currently no photos in this product. %1$sClick here%2$s to add photos now!";"There are currently no photos in this listing. %1$sClick here%2$s to add photos now!"
"Choose photos on your computer to add to this product. (2MB maximum).";"Choose photos on your computer to add to this listing. (2MB maximum)."

#LISTING TYPE DEPENDENT
"DASHBOARD_PRODUCT_WHERE_TO_BUY options of %s";"Where to Buy options of %s"
"There are currently no DASHBOARD_PRODUCT_WHERE_TO_BUY option for this product. Click %s to add options now!";"There are currently no Where to Buy option for this listing. Click %s to add options now!"

#Sitereview/video/edit.tpl
#LISTING TYPE DEPENDENT
"Edit Product Videos";"Edit Product Videos"
"Edit and manage the videos of your product below.";"Edit and manage the videos of your listing below."
"There are currently no videos in this product. Click %s to add videos now!";"There are currently no videos in this listing. Click %s to add videos now!"
"An attractive photo and video Slideshow will be displayed on your Product Profile page. Below, you can select a video to be displayed in that slideshow by using the 'Show in Slideshow' option.";"An attractive photo and video Slideshow will be displayed on your Product Profile page. Below, you can select a video to be displayed in that slideshow by using the 'Show in Slideshow' option."
"Add a new video in this product using the form below.";"Add a new video in this listing using the form below."

#LISTING TYPE DEPENDENT
"Click 'Add Photos' to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo to save them to your product.";"Click 'Add Photos' to select one or more photos from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, click the button below your photo to save them to your listing."

#LISTING TYPE DEPENDENT
"Go to the Product %s";"Go to the Product %s"
"Please %s to update your reviews for this Product.";"Please %s to update your reviews for this Listing."

#widgets/newlisting-sitereview/index.tpl
#LISTING TYPE DEPENDENT
"Post a New Product";"New Product"

#LISTING TYPE DEPENDENT
"You have not composed an overview for your product. Click %s to compose it from the Dashboard of your product.";"You have not composed an overview for your listing. Click %s to compose it from the Dashboard of your listing."

#LISTING TYPE DEPENDENT
"You have not added any photo in your product. %1$sClick here%2s to add your first photo.";"You have not added any photo in your listing. %1$sClick here%2s to add your first photo."

#LISTING TYPE DEPENDENT
"You have not added any video in your product. %1$sClick here%2$s to add your first video.";"You have not added any video in your listing. %1$sClick here%2$s to add your first video."
"There are currently no videos in this product. %1$sClick here%2$s to add your first video.";"There are currently no videos in this listing. %1$sClick here%2$s to add your first video."

#widgets/zerolisting-sitereview/index.tpl
#LISTING TYPE DEPENDENT
"No products have been posted yet.";"No listings have been posted yet."

"BE_THE_FIRST_PRODUCT_TO %1$spost%2$s one!";"Be the first to %1$spost%2$s one!"
"posted by";"posted by"

#widgets/browse-listings-sitereview/index.tpl
"Nobody has posted a product with that criteria.";"Nobody has posted a listing with that criteria."
"Be the first to product %1$spost%2$s one!";"Be the first to %1$spost%2$s one!"

#LISTING TYPE DEPENDENT
"This is the product browse page.";"This is the product browse page."

#LISTING TYPE DEPENDENT
"Create your message with the form given below. (This message will be sent to the owner of this Product.)";"Create your message with the form given below. (This message will be sent to the owner of this Product.)"

#DASHBOARD
#LISTING TYPE DEPENDENT
"DASHBOARD_PRODUCT_WHERE_TO_BUY";"Where to Buy"
"DASHBOARD_PRODUCT_OVERVIEW";"Overview"
"Products Home";"Products Home"
"Browse Products";"Browse Products"
"My Products";"My Products"
"Top Rated Products";"Top Rated Products"
"Most Liked Products";"Most Liked Products"
"Popular Products";"Popular Products"
"Most Commented Products";"Most Commented Products"
"PRODUCT_TAG_(Keywords)";"Tags (Keywords)"
"Please %1$sclick here%2$s to give your review and ratings for this product.";"Please %1$sclick here%2$s to give your review and ratings for this listing."
"Please %1$sclick here%2$s to update your reviews for this product.";"Please %1$sclick here%2$s to update your reviews for this listing."

#LISTING TYPE DEPENDENT
"Please select the wishlists in which you want to add this product.";"Please select the wishlists in which you want to add this listing."
"You have not created any wishlist yet. Get Started by creating and adding products.";"You have not created any wishlist yet. Get Started by creating and adding listings."
"You can also add this product in a new wishlist below:";"You can also add this listing in a new wishlist below:"
"PRODUCT_TAG :";"Tag :"
"PRODUCT_TAGS:";"Tags:"
"PRODUCT_TAGS";"Tags"
"EXPLORE_PRODUCT_TAGS &raquo;";"Explore Tags &raquo;"
"Featured Products";"Featured Products"
"Sponsored Products";"Sponsored Products"
"Edit Product Overview";"Edit Product Overview"
"%s product found.";"%s listing found.";"%s listings found."
"%s product";"%s listing";"%s listings"
"%s product entry";"%s listing entry";"%s listings entries"
"Products";"Products"
"Product of the Day";"Product of the Day"

#widgets/closelisting-sitereview/index.tpl
"This product has been closed by the owner.";"This listing has been closed by the owner."

#DEPENDENT ON LISTINGTYPE
"What do you like about this Product?";"What do you like about this Listing?"
"What do you dislike about this Product?";"What do you dislike about this Listing?"
"You may add a video to your product either by choosing from your existing videos, or by posting a new video:";"You may add a video to your listing either by choosing from your existing videos, or by posting a new video:"
"No discussion topics have been posted in this product yet. Click %1$s to start a discussion.";"No discussion topics have been posted in this listing yet. Click %1$s to start a discussion."
"'s Product";"'s Listing"
"This message corresponds to the Product: ";"This message corresponds to the Listing: "
"Your product's location has been modified successfully.";"Your listing's location has been modified successfully."
"PRODUCT_STORE";"Store"
"PRODUCT_STORE_URL";"Store URL"
"Popular Tags";"Popular Tags"
"Popular Tags (%s)";"Popular Tags (%s)"
"Delete DASHBOARD_PRODUCT_WHERE_TO_BUY?";"Delete Where to Buy?"
"Are you sure that you want to delete this DASHBOARD_PRODUCT_WHERE_TO_BUY? It will not be recoverable after being deleted.";"Are you sure that you want to delete this Where to Buy? It will not be recoverable after being deleted."
"Note: Users will not be able to create listings in '%s', until you have created atleast one category. Please create some categories from the Admin Panel for this listing type to enable users to create listings.";"Note: Users will not be able to create listings in '%s', until you have created atleast one category. Please create some categories from the Admin Panel for this listing type to enable users to create listings."
"Sorry, you can not post a new listing right now. Please try again after sometime or contact us by filling the 'Contact Us' form using the 'Contact' link available in the footer of our site.";"Sorry, you can not post a new listing right now. Please try again after sometime or contact us by filling the 'Contact Us' form using the 'Contact' link available in the footer of our site."
"PRODUCT_POSTED_BY";"Posted By"
"PRODUCT_POSTED_ON:";"Posted On :"
"PRODUCT_POSTED_BY:";"Posted By :"
"PRODUCT_posted_by";"posted by"
"VIEW_ALL_PRODUCT_STORES";"View all Stores &raquo;"
"ENTER_THE_ADDRESS_OF_PRODUCT_STORE";"Enter the address of the store."
"PRODUCT_AT %s store";"at %s store";"at %s stores"
"* The above cost for the %s is estimated and may slightly vary after including the taxes, manufacturer rebate, shipping cost, or any other sales / promotion on products Stores.";"* The above cost for the %s is estimated and may slightly vary after including the taxes, manufacturer rebate, shipping cost, or any other sales / promotion on Stores."
"No reviews have been written for this product yet.";"No reviews have been written for this listing yet."
"Select the best alternatives for %s below. (Selected alternatives will be displayed in 'Best Alternatives' block on this product's profile page.)";"Select the best alternatives for %s below. (Selected alternatives will be displayed in 'Best Alternatives' block on this product's profile page.)"
"Select the Store where this product is available.";"Select the Store where this listing is available."
"This product has beed expired.";"This listing has beed expired."
"Edit Where to Buy option for this product using the form below.";"Edit Where to Buy option for this listing using the form below."
